Name	Set	ImageFile	Number	Pack	Type	Sphere	Unique	Traits	Cost	Willpower	Attack	Defense	Health	Encounter Set	Threat	Engagement Cost	Quest Points	Victory Points	OCTGN ID	Setup	Quantity	Text	Shadow
Echoing Passage	MoF	MoF0016	16	The Mountain of Fire	Location			Cirith Ungol.						The Tower of Cirith Ungol	1		5		e53df85c-f6e6-41df-9fd1-03dd2d2a1c65			Echoing Passage gets +1 $ for each enemy in the staging area. While Echoing Passage is the active location, each enemy gets +2 Ú.	
Bloodied Courtyard	MoF	MoF0017	17	The Mountain of Fire	Location			Cirith Ungol.						The Tower of Cirith Ungol	3		4		46c6afb3-9a68-4f1a-acfa-e421c84da528			While Bloodied Courtyard is the active location, it gains: “Forced: After an enemy enters the staging area, deal 1 damage to it.” Travel: Raise each player’s threat by 1 to travel here.	
Winding Stairs	MoF	MoF0018	18	The Mountain of Fire	Location			Cirith Ungol.						The Tower of Cirith Ungol	2		4		cf74c777-dfe4-4cea-8b7f-4b09fc1aa5b2			While Winding Stairs is the active location, each enemy in the staging area gets +10 engagement cost. Travel: Each player exhausts a character he controls to travel here.	
Torch-lit Hall	MoF	MoF0019	19	The Mountain of Fire	Location			Cirith Ungol.						The Tower of Cirith Ungol	2		3		32706788-e37c-47b1-831b-40c7f711cb10			Forced: After the players travel to Torch-lit Hall, discard cards from the top of the encounter deck until an enemy is discarded. If there is a copy of that enemy in the staging area, discard that copy as well. If there is not, add the discarded enemy to the staging area.	
Shagrat	MoF	MoF0020	20	The Mountain of Fire	Enemy		‰	Orc. Uruk.			5	4	6	The Tower of Cirith Ungol	4	46		4	a246d29f-f370-4308-828d-c1ff09029b4a			Cannot have non-boon attachments. Cannot take non-combat damage.  Allies cannot attack or defend against Shagrat. Forced: After progress is placed on the quest, Shagrat gets -X engagement cost until the end of the round. X is the amount of progress just placed.	
Gorbag	MoF	MoF0021	21	The Mountain of Fire	Enemy		‰	Orc. Uruk.			4	3	5	The Tower of Cirith Ungol	3	36		3	74f40d23-068a-40ea-9965-81df44294490			Cannot have attachments. Forced: After Gorbag engages you, it makes an immediate attack against you.	Shadow: Attacking enemy makes an additional attack against you after this one.
Wounded Uruk	MoF	MoF0022	22	The Mountain of Fire	Enemy			Orc. Uruk.			3	2	4	The Tower of Cirith Ungol	2	34			03abe728-0062-49bb-9a04-e78bff777e83			Wounded Uruk enters play with 2 damage on it. Forced: After Wounded Uruk engages you, it gets +2 Û until the end of the round.	Shadow: Attacking enemy gets +1 Û for each damage on it.
Orcish Howls	MoF	MoF0023	23	The Mountain of Fire	Treachery									The Tower of Cirith Ungol					66489fc6-7074-4cbb-8a60-37acd641f7a6			When Revealed: Deal 1 damage to each in the staging area. Until the end of the phase, each enemy gets +1 $ for each damage on it. If there are no enemies in the staging area, Orcish Howls gains surge.	Shadow: If you are engaged with another enemy, resolve this attack against that enemy.
The Black Gate	MoF	MoF0024	24	The Mountain of Fire	Location		‰	Mordor.						The Black Gate Opens	0		0		c6b0a8d2-32fe-4750-9270-7270cd5f062b			Immune to player card effects. The players cannot travel here. The Black Gate gets +1 $ for each resource on it. Forced: At the beginning of the quest phase, place 1 resource here and raise each player’s threat by 1.	
Towers of the Teeth	MoF	MoF0025	25	The Mountain of Fire	Location			Plains.						The Black Gate Opens	0		8		e5b56e5a-3286-4ea6-bbdd-da7e47750125			Immune to player card effects.  X is the number of characters controlled by the player with the most characters. While Towers of the Teeth is the active location, players cannot play allies.	
Beleaguered Hills	MoF	MoF0026	26	The Mountain of Fire	Location			Hills.						The Black Gate Opens	2		3		1eab8808-f8ee-4935-b456-7dd940afbc28			While Beleaguered Hills is the active location, reduce the total $ in the staging area by X, where X is the total $ of each engaged enemy. Forced: After Beleaguered Hills becomes the active location, each player engages a non-unique enemy in the staging area.	
Waste of Dagorlad	MoF	MoF0027	27	The Mountain of Fire	Location			Plains.						The Black Gate Opens	3		6		77bcda70-5126-4e58-919e-447c03d7ab02			While Waste of Dagorlad is the active location, treat the text box of each ally as if it were blank (except for Traits).	
Slopes of Cirith Gorgor	MoF	MoF0028	28	The Mountain of Fire	Location			Hills.						The Black Gate Opens	4		1		3551cf11-1670-46de-b404-7b8fd20d3aff			Forced: When Slopes of Cirith Gorgor leaves play, the first player shuffles the encounter discard pile into the encounter deck and discards cards from the top until an enemy is discarded. Then, he puts that enemy into play engaged with him.	
Reeking Moat	MoF	MoF0029	29	The Mountain of Fire	Location			Plains.						The Black Gate Opens	2		4		f13a2e94-0ece-45c3-a7ce-0248f9ff92b3			Forced: After Reeking Moat becomes the active location, choose a non-unique, non-Nazgul enemy in the staging area and place it facedown under Reeking Moat. Forced: When Reeking Moat leaves play, put each enemy under it into play engaged with the first player.	
Wall of Morannon	MoF	MoF0030	30	The Mountain of Fire	Location			Plains.						The Black Gate Opens	5		5		6aaf94eb-c656-4589-acf1-c6637a755946			While Wall of Morannon is the active location, each enemy and location in the staging area is immune to player card effects. Forced: After Wall of Morannon becomes the active location, return each engaged enemy to the staging area.	
The Mouth of Sauron	MoF	MoF0031	31	The Mountain of Fire	Enemy		‰	Mordor.			6	4	11	The Black Gate Opens	4	99			a3a28453-4292-49b3-9b78-fc958310a800			Immune to player card effects. Cannot leave the staging area. Forced: After a player cancels a ‘when revealed’ effect, The Mouth of Sauron makes an immediate attack against that player.	
Nazgul of Mordor	MoF	MoF0032	32	The Mountain of Fire	Enemy			Nazgul.			6	4	9	The Black Gate Opens	4	66			e62cec6d-6b96-4662-9a86-bcc0f5aee453			Cannot have non-Morgul attachments. Forced: After Nazgul of Mordor attacks, either raise your threat by 4, or return Nazgul of Mordor to the staging area.	
Gorgoroth Hill-troll	MoF	MoF0033	33	The Mountain of Fire	Enemy			Troll.			7	3	8	The Black Gate Opens	3	56			fafbd12c-b97e-41d8-a696-5c89566927ba			Cannot have attachments. Forced: After Gorgoroth Hill-troll attacks and destroys a character, the defending player discards a random card from his hand and raises his threat by that card’s printed cost.	
Easterling Bowman	MoF	MoF0034	34	The Mountain of Fire	Enemy			Easterling.			3	1	4	The Black Gate Opens	2	54			ce23920a-4b87-4015-88bf-8687a6d3f180			When Revealed: Deal 1 damage to a questing character you control.	Shadow: After this attack, attacking enemy engages the next player then makes an attack.
Warrior of Rhun	MoF	MoF0035	35	The Mountain of Fire	Enemy			Easterling.			4	3	4	The Black Gate Opens	1	34			7108bf9e-3e91-4cbd-977a-fbab0a464512			When Revealed: Choose a questing character you control and remove it from the quest.	Shadow: Defending character cannot ready until the end of the round.
Hell-hawk	MoF	MoF0036	36	The Mountain of Fire	Treachery			Morgul.						The Black Gate Opens					5003227b-ebc3-454a-88b4-2d6e20cc48f7			When Revealed: Either search the encounter deck, discard pile, and victory display for a Nazgul enemy and add it to the staging area, or attach Hell-hawk to a Nazgul enemy in play. (Counts as a Mount attachment with the text: “Limit 1 per enemy. Attached enemy gets +2 $, +2 Û, +2 Ú and is immune to player card effects.”)	
The Hour of Doom	MoF	MoF0037	37	The Mountain of Fire	Treachery									The Black Gate Opens					3f736d45-c2b3-429e-9a21-3f8073cdbd48			When Revealed: Each player must choose: either raise your threat by 1 for each character you control, or discard the highest cost ally you control.	Shadow: Discard a non-objective attachment you control.
Jaws of Steel	MoF	MoF0038	38	The Mountain of Fire	Treachery									The Black Gate Opens					d5286130-d03a-49f3-bd70-d40e9320c292			When Revealed: Each players assigns X damage among characters he controls, where X is the number of resources on The Black Gate.	Shadow: Attacking enemy gets +1 Û for each resource on The Black Gate.
Rage Filled Him	MoF	MoF0039	39	The Mountain of Fire	Treachery			Peril.						The Black Gate Opens					218b6d77-2c40-4967-8487-2a383b4170ce			When Revealed: The Mouth of Sauron makes an immediate attack against you. If this attack destroys a character, raise your threat by 4.	Shadow: Attacking enemy gets +1 Û (+3 Û instead if it is The Mouth of Sauron).
Onslaught of Mordor	MoF	MoF0040	40	The Mountain of Fire	Treachery									The Black Gate Opens					60ac6ce9-7aad-415d-a4af-61f67db59454			When Revealed: Each player deals 1 damage to a questing character he controls. Until the end of the phase, each damaged character gets -1 Ò and cannot be healed.	Shadow: Choose a non-unique enemy in the staging area. Engage it and deal it a shadow card.
Gwaihir	MoF	MoF0041	41	The Mountain of Fire	Objective Ally		‰	Creature. Eagle.						The Black Gate Opens					5c1973bf-c331-4b8f-8872-4ead564476d3			When Revealed: The first player must choose: either take control of Gwaihir, or spend 1 ☺ resource and discard Gwaihir to discard a non-unique enemy in the staging area.	Shadow: This attack deals no damage.
The Tower of Barad-dur	MoF	MoF0042	42	The Mountain of Fire	Objective		‰	Mordor.						Mount Doom					bb6dd4a6-a72c-400a-9cc6-903d7260ea1b			Players do not raise their threat at the end of the refresh phase. Forced: At the end of the round, each player raises his threat by 1 for each non-☺ character he controls.	
Mount Doom	MoF	MoF0043	43	The Mountain of Fire	Location		‰	Mordor.						Mount Doom	0		9	9	2dc216a5-af92-44e5-b225-9cdc7bf47e73			Immune to player card effects. X is the tens digit of the first player’s threat dial. The players cannot travel here unless there is at least 20 progress on stage 3B. Travel: Each player makes a Fortitude test. If a player fails this test, he raises his threat by 9.	
Orc-hold	MoF	MoF0044	44	The Mountain of Fire	Location			Mordor.						Mount Doom	3		4		1a0189ae-b9ad-49c2-a217-a9c975536384			While Orc-hold is in the staging area, progress cannot be placed on other locations in the staging area. Forced: After Orc-hold becomes the active location, shuffle the encounter discard pile into the encounter deck. Discard cards from the top until an Orc enemy is discarded. Put that enemy into play engaged with the first player.	
Mordor Road	MoF	MoF0045	45	The Mountain of Fire	Location			Mordor.						Mount Doom	1		5		e9bdfb84-2f96-4288-bbed-31f52cc10b86			Mordor Road gets +1 $ for each ally controlled by the player who controls the most allies. Forced: After Mordor Road becomes the active location, each player discards the top card of the encounter deck. Add each enemy discarded this way to the staging area.	
Plain of Gorgoroth	MoF	MoF0046	46	The Mountain of Fire	Location			Mordor.						Mount Doom	2		4		c88f14e5-1bd3-4829-ab70-02479df6cdfd			If a player has failed a Fortitude test this round, Plain of Gorgoroth gets +2 $. Travel: The first player makes a Fortitude test to travel here. If this test is unsuccessful, raise each player’s threat by 4.	
Brake of Thorns	MoF	MoF0047	47	The Mountain of Fire	Location			Mordor.						Mount Doom	2		3		cfe25792-3c08-4154-8770-821eee3c9e3f			While Brake of Thorns is in the staging area, add (S) to each Fortitude test.  Forced: After Brake of Thorns becomes the active location, each player assigns X damage among characters he controls, where X is the tens digit of his threat dial.	
Old Water-course	MoF	MoF0048	48	The Mountain of Fire	Location			Mordor.						Mount Doom	2		5	2	13543061-b855-4e58-9190-e2f56c17cd32			While Old Water-course is the active location, it gains: “Response: When Old Water-course is explored, reduce each player’s threat by 5.” Travel: Each player must exhaust a hero he controls to travel here.	
Gollum	MoF	MoF0049	49	The Mountain of Fire	Enemy		‰	Gollum.			2	2	5	Mount Doom	2	99			eb232287-e39e-4358-b37f-23b2c45ca6a8			Gollum engages the first player. Forced: When Gollum is discarded during a Fortitude test, put him into play engaged with the first player. Then, choose an encounter card discarded for this test and ignore its (S) icons.	
Ringwraith of Sauron	MoF	MoF0050	50	The Mountain of Fire	Enemy			Nazgul.			6	3	10	Mount Doom	4	88			c39c83bf-ee9e-4e4d-9689-b8f7559292bd			Cannot have non-Morgul attachments. While Ringwraith of Sauron is in the staging area, it gains: “Forced: After a player fails a Fortitude test, Ringwraith of Sauron engages that player and makes an immediate attack.”	
Orc Captain	MoF	MoF0051	51	The Mountain of Fire	Enemy			Orc. Uruk.			5	4	6	Mount Doom	3	55			ae4a4129-ed5d-4902-92e3-ae89e2795fb1			Forced: After Orc Captain engages you, make a Fortitude test. If you fail this test, reveal the top card of the encounter deck.	Shadow: If this attack destroys a character, return attacking enemy to the staging area.
Big Uruk	MoF	MoF0052	52	The Mountain of Fire	Enemy			Orc. Uruk.			4	3	5	Mount Doom	2	44			6036efda-3456-45d2-817a-4ef8b310db5a			Forced: After Big Uruk engages you, either raise your threat by 4, or Big Uruk makes an immediate attack against you.	Shadow: Attacking enemy gets +1 Û for each ally you control.
Little Snuffler	MoF	MoF0053	53	The Mountain of Fire	Enemy			Orc. Snaga.			3	2	3	Mount Doom	1	33			ad3509b5-b4b4-4fe5-bfdc-e655cc2470d3			When Revealed: Either raise your threat by 1 for each ally you control, or discard an ally you control.	Shadow: Exhaust a character you control.
Wicked Master!	MoF	MoF0054	54	The Mountain of Fire	Treachery			Gollum.						Mount Doom					2ab79807-7f6b-4b8b-8295-fb8645cdee8a			When Revealed: Gollum makes an immediate attack against the first player. If Gollum is not in play, search the encounter deck and discard pile for Gollum and put him into play engaged with the first player.	Shadow: If attacking enemy is Gollum, he makes an additional attack after this one.
The Lidless Eye	MoF	MoF0055	55	The Mountain of Fire	Treachery			Peril.						Mount Doom					d71de165-8632-4628-94ea-793a1c20e6f8			When Revealed: Make a Fortitude test. If The One Ring is exhausted, add (SS) to the test. If you fail this test, raise your threat by 10.	Shadow: Attacking enemy gets +1 Û (+2 Û instead if you failed a Fortitude test this round).
Foul Fumes	MoF	MoF0056	56	The Mountain of Fire	Treachery									Mount Doom					01a03d74-06d9-4fc8-afd7-2739fa900c32			When Revealed: Each player makes a Fortitude test. If you fail this test, deal 1 damage to each character you control. Until the end of the round, treat the text box of each damaged character as if it were blank (except for Traits).	Shadow: If you failed a Fortitude test this round, this attack is considered undefended.
Heavy and Tired	MoF	MoF0057	57	The Mountain of Fire	Treachery									Mount Doom					cdf7a6c5-23f6-4314-a122-3b7df1b97501			When Revealed: Attach to the hero with the most attachments and exhaust that hero. (Counts as a Condition attachment with the text: “Limit 1 per hero. Attached hero cannot commit to Fortitude tests. Forced: After you fail a Fortitude test, exhaust attached hero and discard each non-objective attachment on it.”)	
Orc of Mordor	MoF	MoF0058	58	The Mountain of Fire	Enemy			Orc.			3	1	3	Orcs of Mordor	1	28			7d9a3914-bc46-40d6-b489-3157d7430382			Forced: After Orc of Mordor engages you, exhaust a character you control.	Shadow: Exhaust a character you control.
Snaga Archer	MoF	MoF0059	59	The Mountain of Fire	Enemy			Orc. Snaga.			4	2	3	Orcs of Mordor	2	44			194ceae6-a5e2-4a52-ba07-76e6c2611e8e			Archery 2. Forced: After Snaga Archer engages you, deal 2 damage to a character you control.	Shadow: Attacking enemy gets +1 Û (+2 Û instead if the defending character is damaged).
Uruk Soldier	MoF	MoF0060	60	The Mountain of Fire	Enemy			Orc. Uruk.			5	2	5	Orcs of Mordor	3	38			50f294ff-ee4b-4685-b7e1-86cd7f2e0a59			Forced: After Uruk Soldier engages you, raise your threat by 2.	Shadow: Attacking enemy gets +1 Û. If this attack destroys a character, return attacking enemy to the staging area.
Drawn to the Ring	MoF	MoF0061	61	The Mountain of Fire	Treachery									Deep Shadows					a442dbd4-ec18-44e6-b762-b0ebf94a8897			When Revealed: The first player must choose: Either exhaust The One Ring and reveal an encounter card, or discard cards from the top of the encounter deck until an enemy is discarded and put it into play engaged with him.	Shadow: Discard a non-objective attachment you control.
Deep Shadows	MoF	MoF0062	62	The Mountain of Fire	Treachery									Deep Shadows					ef94d441-715f-42e8-bb3a-764592cdf44c			Doomed 2. When Revealed: Each player must choose: either discard your hand (with at least 3 cards in it), or he reveals an encounter card.	Shadow: Attacking enemy makes an additional attack after this one.
Evil Vigilance	MoF	MoF0063	63	The Mountain of Fire	Treachery									Deep Shadows					15f9c6b7-2bb0-48ea-9a5d-b8ec3b1a7e2d			When Revealed: Each player must choose: Either discard a questing character you control, or raise your threat by 1 for each questing character you control.	Shadow: Attacking enemy gets +1 Û. If this attack destroys a character, reveal the top card of the encounter deck.
In Darkness Bind Them	MoF	MoF0064	64	The Mountain of Fire	Treachery									Epic Multiplayer Mode					23402087-6d53-45c7-86be-3c6b9f5a651c			When Revealed: Each player exhausts a character he controls. If The Eye of Sauron is in the staging area, characters cannot be readied by player card effects this round.	Shadow: If The Eye of Sauron is in the staging area, attacking enemy gets +2 Û and returns to the staging area after this attack.
The One Ring	MoF	MoF0065	65	The Mountain of Fire	Objective		‰												06b1e27e-6493-4f05-9203-1835058073df			Encounter Set:  Artifact. Item. Ring.  Setup: The first player claims The One Ring and attaches it to the Ring-bearer. Attached hero does not count against the hero limit. The first player gains control of attached hero. If The One Ring leaves play, the players lose the game.	
Pass the Two Watchers	MoF	MoF0066A,MoF0066B	66	The Mountain of Fire	Quest				1					The Tower of Cirith Ungol		A			22e79f71-9496-4f1a-bf7e-36834378d68c			Setup: Set Shagrat aside, out of play. Add The Two Watchers (location side faceup) and Topmost Chamber to the staging area. The first player loses control of the Ring-bearer, places it faceup under Topmost Chamber as a guarded objective. Then, the first player attaches Last of the Company to a hero he controls and attaches The One Ring to that hero.	
Fighting in the Tower	MoF	MoF0067A,MoF0067B	67	The Mountain of Fire	Quest				2					The Tower of Cirith Ungol		A			26eb433a-01e2-4b0e-83c4-680b0e0c4854			When Revealed: Shuffle the encounter discard pile into the encounter deck and discard cards until X enemies are discarded, where X is the number of players in the game. Add each enemy discarded by this effect to the staging area.	
Escape from Cirith Ungol	MoF	MoF0068A,MoF0068B	68	The Mountain of Fire	Quest				3					The Tower of Cirith Ungol		A			196dd43b-1df2-4eae-9dcf-2e8d2723af67			When Revealed: Add Last of the Company to the victory display. Attach The One Ring to the Ring-bearer and exhaust the Ring-bearer. The first player moves The Two Watchers from the victory display to the staging area (location side faceup). Each other player reveals an encounter card.	
The Tower of Cirith Ungol	MoF	MoF0069	69	The Mountain of Fire	Campaign									The Tower of Cirith Ungol					a27a3045-58aa-4cbe-ab36-90bc6e7a5cdb			Setup: Each player may change heroes he controls without incurring the +1 threat penalty. Attach A Heavy Burden to the hero with Last of the Company attached. Each player chooses an Item boon (excluding Anduril) from the campaign pool and sets it aside, out of play. Remove each burden with the following burden set icons from the encounter deck and flip this card over: HD, TRtI, TPotGC	
The Two Watchers	MoF	MoF0070	70	The Mountain of Fire	Location		‰	Mordor.						The Tower of Cirith Ungol	0		0		78f780fd-fcc0-495e-b132-772ce71dbfa9			Immune to player card effects.  X is twice the stage number of the main quest. Forced: After the players travel here, flip The Two Watchers to its enemy side and move it to the staging area.	
Embassy from The Dark Tower	MoF	MoF0072A,MoF0072B	72	The Mountain of Fire	Quest				1					The Black Gate Opens		A			0f31d397-55d8-4988-b6bb-3d4101977515			Setup: Add The Black Gate and The Mouth of Sauron to the staging area. Set Gwaihir aside, out of play. Shuffle the encounter deck.	
The Battle of the Morannon	MoF	MoF0073A,MoF0073B	73	The Mountain of Fire	Quest				2					The Black Gate Opens		A			48c071bf-b00f-4677-b43f-aa119f736428			Dire When Revealed: Each player searches the encounter deck and discard pile for a different Orc, Troll, or Nazgul enemy to the staging area. Shuffle Gwaihir into the encounter deck.	
The Black Gate Opens	MoF	MoF0074	74	The Mountain of Fire	Campaign									The Black Gate Opens					9ffc1d82-10b3-4703-91e5-865407f0cc1e			Setup: Each player may change heroes he controls without incurring the +1 threat penalty. The first player may raise each player’s threat by 1 to search his deck for Anduril and add it to his hand. Remove each burden with the following burden set icons from the encounter deck: ASotP, FtF, TRGS, TPofM, SL	
The Land of Mordor	MoF	MoF0075A,MoF0075B	75	The Mountain of Fire	Quest				1					Mount Doom		A			39a64a5a-7074-46a5-aacc-a42537fe0ddd			Setup: Add Mount Doom and The Tower of Barad-dur to the staging area. Make Brake of Thorns the active location. Each player searches the encounter deck for a different location and adds it to the staging area. Shuffle the encounter deck.	
The Road to Isenmouthe	MoF	MoF0076A,MoF0076B	76	The Mountain of Fire	Quest				2					Mount Doom		A			6a24a5e8-80e9-4bba-af55-64be11742dde			Dire. When Revealed: Search the encounter deck, discard pile, and victory display for Mordor Road and add it to the staging area. Shuffle the encounter discard pile into the encounter deck and travel to Mordor Road.	
The Last Gasp	MoF	MoF0077A,MoF0077B	77	The Mountain of Fire	Quest				3					Mount Doom		A			ec2049ab-c950-46f7-9f1b-30ada69db857			Dire. When Revealed: Shuffle the encounter discard pile into the encounter deck and discard cards from the top until X locations are discarded, where X is the number of players in the game. Add each location discarded this way to the staging area.	
The Crack of Doom	MoF	MoF0078A,MoF0078B	78	The Mountain of Fire	Quest				4					Mount Doom		A			ad73bb42-f0fb-4732-956d-e921140e99bb			Dire. When Revealed: Shuffle the encounter discard pile into the encounter deck and discard cards from the top until X enemies are discarded, where X is the number of players. Add each enemy discarded this way to the staging area.	
Mount Doom	MoF	MoF0079	79	The Mountain of Fire	Campaign									Mount Doom					271fa771-d678-461e-b5c6-483117059ed1			Setup: Each player may change heroes he controls without incurring the +1 threat penalty. Place X resource tokens on this card, where X is the number or resource tokens on The Black Gate, as recorded in the campaign log. Remove each burden with the following burden set icons from the encounter deck: HD, TRtI, TPotGC Forced: At the end of the round, remove 1 resource token from this card. Then, if there are no resource tokens here, the players lose the game.	
Epic Multiplayer Mode	MoF	MoF0080	80	The Mountain of Fire	Campaign									Epic Multiplayer Mode					477558e9-dc31-4766-b97d-311d5668aa1a			Setup: Create two separate staging areas: one for The Black Gate Opens and one for Mount Doom. Divide the players into 2 teams, one for each scenario. No more than 4 players can be assigned to each scenario and the number of players assigned to Mount Doom cannot be more than the number assigned to The Black Gate Opens. Shuffle 1 copy of In Darkness Bind Them into each encounter deck. Place The Eye of Sauron in the Mount Doom staging area with its corresponding side faceup. Flip this card over and set it next to the Mount Doom quest deck.	
The Eye of Sauron	MoF	MoF0081	81	The Mountain of Fire	Objective		‰	Mordor.						Epic Multiplayer Mode					c4b7ea64-91b2-4037-bfce-45e487a96b01			Add (S) to each Fortitude test. Forced: At the end of the round, flip The Eye of Sauron, then move it and each Nazgul enemy in the staging area to The Black Gate Opens staging area. The first player may raise each player’s threat by 3 to cancel this effect.	
The Eye of Sauron	MoF	MoF0082	82	The Mountain of Fire	Objective		‰	Mordor.						Epic Multiplayer Mode					2f6a81bb-951f-434a-9cfd-7605a7122fd2			Each enemy in the staging area gets +1 $ and -10 engagement cost. Forced: At the end of the round, flip The Eye of Sauron, then move it and each Nazgul enemy in the staging area to the Mount Doom staging area. The first player may raise each player’s threat by 3 to cancel this effect.	
Voyage Across Belegaer	VABN	VABN0001	1	The Grey Havens - Nightmare	Nightmare									Voyage Across Belegaer - Nightmare					5111c160-ad76-4d33-bc50-52d171880e47			Begin with the standard and encounter deck for the Voyage Across Belegaer scenario.Remove the following cards, in the specified quantities, from the standard encounter deck:2x Southron Sailor1x Starlit Sea1x Fog Bank2x Calm Waters2x Thrown Off Course1x Scouting ShipThen, shuffle the encounter cards in this Nightmare Deck into the remainder of the standard Voyage Across Belegaer encounter deck.Finally, flip this setup card over and place it next to the quest deck. Its effect remains active throughout the game, which is now ready to begin.(¹)*: Some cards in The Grey Havens Nightmare Decks have Sailing success symbols (¹) with an asterisk (*) next to them. This indicates that the card has a Forced effect which will trigger when the card is discarded during a sailing test.	
Corsair Confrontation	VABN	VABN0002A,VABN0002B	2	The Grey Havens - Nightmare	Quest				2					Voyage Across Belegaer - Nightmare		A			2e5c938b-9b70-4d8b-b632-479fedda84de			When Revealed: Search the encounter deck, discard pile, and victory display for 1 copy of Corsair Warship and add it to the staging area. Shuffle the encounter deck.	
Lost at Sea	VABN	VABN0003A,VABN0003B	3	The Grey Havens - Nightmare	Quest				2					Voyage Across Belegaer - Nightmare		A			5583464f-f2e7-44cc-9d8f-87ea065b7e08			When Revealed: Set your heading to the worst setting (¾)	
Brash Corsair	VABN	VABN0004	4	The Grey Havens - Nightmare	Enemy			Corsair.			3	4	3	Voyage Across Belegaer - Nightmare	3	16			5212a036-a6f3-4979-a4cf-6f4a221bdf36			Forced: When the engaged player exhausts a Ship objective, Brash Corsair makes an immediate attack.	
Sahirs Pursuer	VABN	VABN0005	5	The Grey Havens - Nightmare	Enemy			Corsair. Ship.			7	3	8	Voyage Across Belegaer - Nightmare	3	40			2a9e1288-4e94-497b-b1c4-41fd8ba34c65			Forced: At the end of the encounter phase, if Sahir's Pursuer is in the staging area, the first player must either engage it or shift your heading off course.	
Open Waters	VABN	VABN0006	6	The Grey Havens - Nightmare	Location			Ocean.						Voyage Across Belegaer - Nightmare	2		6	¹	322a9715-116f-4cc8-91b5-e090f3074dbb			While Open Waters is in the staging area, each Ship enemy gets -5 engagement cost and +1 $.Travel: One player must exhaust a Ship objective to travel here.	
Shattered Sea	VABN	VABN0007	7	The Grey Havens - Nightmare	Location			Ocean.						Voyage Across Belegaer - Nightmare	4		4	¹	fe88f19e-2ea8-45d7-afee-86f8d35630a6			While your heading is (¼), Shattered Sea gets +2 $ and +2 quest points.While your heading is (½), Shattered Sea gets +4 $ and +4 quest points.While your heading is (¾), Shattered Sea gets +6 $ and +6 quest points.	
Rogue Wave	VABN	VABN0008	8	The Grey Havens - Nightmare	Treachery			Weather.						Voyage Across Belegaer - Nightmare					6ea88b3d-c675-4690-b993-ce4672eb3b16			When Revealed: Each player must either exhaust a Ship objective he controls or distribute 4 damage mong characters he controls (6 damage instead if you are off-course).	Attacking enemy gets +1 Û for each quest card in the victory display.
Dreams of Numenor	VABN	VABN0009	9	The Grey Havens - Nightmare	Treachery									Voyage Across Belegaer - Nightmare				¹	60df407c-b1d7-455b-b4b3-7c68739f73c3			When Revealed: Either set your heading to the worst setting (¾) or exhaust all allies in play.	If you are off-course (¼, ½, or ¾), attacking enemy makes an additional attack after this one.
Raging Squall	VABN	VABN0010	10	The Grey Havens - Nightmare	Treachery			Weather.						Voyage Across Belegaer - Nightmare				¹*	a62a05a3-c982-4ee1-ac17-7298e6f1a525			*Forced: After Raging Squall is discarded from the encounter deck during a Sailing test, deal 1 damage to each character committed to that test.	
The Fate of Numenor	TFoNN	TFoNN0001	1	The Grey Havens - Nightmare	Nightmare									The Fate of Númenor - Nightmare					d6fa1984-6016-4b44-8466-772160706d31			Begin with the standard and encounter deck for The Fate of Numenor scenario.Remove the following cards, in the specified quantities, from the standard encounter deck:2x Forbidden Coast2x Cursed Temple2x Flooded Ruins2x Drowned Graves2x Lush Jungle1x Shrine to Morgoth3x Steep Plateau3x Aimless Wandering1x Mysterious Fog1x Servant of the Deceiver1x Lingering Malevolence1x Drowned DeadThen, shuffle the encounter cards in this Nightmare Deck into the remainder of the standard Fate of Numenor encounter deck.Finally, flip this setup card over and place it next to the quest deck. Its effect remains active throughout the game, which is now ready to begin.Note: As print-on-demand cardstock does not match that used in the original scenario, the Uncharted deck from the original should be replaced with the Uncharted deck reprinted in this Nightmare deck. This has already been taken into account in the cards listed above.	
Lost Island	TFoNN	TFoNN0002	2	The Grey Havens - Nightmare	Location									The Fate of Númenor - Nightmare	2		-		02ba32c6-9442-4a69-b89b-b2ec4ee24be2			Cannot have player card attachments. Forced: After Lost Island becomes the active location, flip it over. Action: Remove 4 progress from Lost Island to look at its facedown side. 	
Lost Island	TFoNN	TFoNN0003	3	The Grey Havens - Nightmare	Location									The Fate of Númenor - Nightmare	2		-		8b8149c8-a1c5-4183-bf0b-a26f93348076			Cannot have player card attachments. Forced: After Lost Island becomes the active location, flip it over. Action: Remove 4 progress from Lost Island to look at its facedown side. 	
Lost Island	TFoNN	TFoNN0004	4	The Grey Havens - Nightmare	Location									The Fate of Númenor - Nightmare	2		-		2929a83e-2da9-4f76-8300-8998784155d6			Cannot have player card attachments. Forced: After Lost Island becomes the active location, flip it over. Action: Remove 4 progress from Lost Island to look at its facedown side. 	
Lost Island	TFoNN	TFoNN0005	5	The Grey Havens - Nightmare	Location									The Fate of Númenor - Nightmare	2		-		c823de8a-c258-494f-8a4a-9cbb4e812e06			Cannot have player card attachments. Forced: After Lost Island becomes the active location, flip it over. Action: Remove 4 progress from Lost Island to look at its facedown side. 	
Lost Island	TFoNN	TFoNN0006	6	The Grey Havens - Nightmare	Location									The Fate of Númenor - Nightmare	2		-		09f14f19-b4c3-4e9e-aeea-21ed53d09138			Cannot have player card attachments. Forced: After Lost Island becomes the active location, flip it over. Action: Remove 4 progress from Lost Island to look at its facedown side. 	
